systematic transcript name	expression [RPM]	transcript length[nt]	expression [RPKM]	quality tag
YAL051W	1002.1006232997036	3144	318.73429494265383	included
YAL053W	1618.5130341954016	2352	688.1432968517864	included
YAL054C	48.21102655050104	2142	22.507482049720373	excluded
YAL055W	182.5131719411827	543	336.12002199112834	excluded
YAL056C-A	0.0	351	0.0	excluded
YAL056W	482.11026550501	2643	182.4102404483579	included
YAL058W	447.6738179689383	1509	296.66919679850116	included
YAL059C-A	0.0	423	0.0	excluded
YAL059W	957.3332415028083	639	1498.174086858855	included
YAL060W	2324.4602086848854	1149	2023.0289022496825	included
YAL061W	144.63307965150318	1254	115.3373840921078	excluded
YAL062W	175.62588243396826	1374	127.82087513389249	excluded
YAL063C	6.887289507214436	3969	1.7352707249217525	excluded
YAL063C-A	0.0	291	0.0	excluded
YAL064C-A	0.0	381	0.0	excluded
YAL064W	0.0	285	0.0	excluded
YAL064W-B	0.0	381	0.0	excluded
YAL065C	3.443644753607218	387	8.898306856866196	excluded
YAL066W	0.0	309	0.0	excluded
YAL067C	3.443644753607218	1782	1.9324605800264971	excluded
YAL067W-A	0.0	228	0.0	excluded
YAL068C	0.0	363	0.0	excluded
YAL068W-A	0.0	255	0.0	excluded
YAL069W	0.0	315	0.0	excluded
YAR002C-A	3230.1387788835846	660	4894.149664975128	included
YAR002W	2758.3594476393987	1620	1702.6910170613571	included
YAR003W	495.884844519439	1281	387.107606962872	included
YAR007C	3612.3833465339976	1866	1935.8967559131818	included
YAR008W	409.7937256792587	828	494.9199585498294	included
YAR009C	34.43644753607217	3591	9.589654006146526	excluded
YAR010C	48.211026550501046	1323	36.4406852233568	excluded
YAR014C	1356.7960329212506	2130	636.9934426860331	included
YAR015W	5733.668514756055	921	6225.481557824164	included
YAR018C	502.7721340266533	1308	384.3823654638022	included
YAR019C	478.66662075140306	2925	163.64670794919763	included
YAR019W-A	0.0	333	0.0	excluded
YAR020C	0.0	168	0.0	excluded
YAR023C	6.887289507214436	540	12.754239828174882	excluded
YAR027W	530.3212920555114	708	749.0413729597619	included
YAR028W	275.49158028857767	705	390.7681989908903	included
YAR029W	0.0	225	0.0	excluded
YAR030C	3.443644753607218	342	10.069136706453854	excluded
YAR031W	130.85850063707426	897	145.8846160948431	excluded
YAR033W	123.97121112985981	705	175.84568954590043	excluded
YAR035C-A	0.0	81	0.0	excluded
YAR035W	161.85130341953933	2064	78.41632917613339	excluded
YAR042W	2138.5033919900984	3567	599.5243599635825	included
YAR047C	0.0	321	0.0	excluded
YAR050W	6.887289507214436	4614	1.4926938680568782	excluded
YAR053W	3.443644753607218	297	11.594763480158983	excluded
YAR060C	0.0	336	0.0	excluded
YAR061W	0.0	204	0.0	excluded
YAR062W	0.0	597	0.0	excluded
YAR064W	0.0	300	0.0	excluded
YAR066W	337.47718585350754	612	551.4333102181496	included
YAR068W	10.330934260821653	486	21.257066380291466	excluded
YAR069C	0.0	294	0.0	excluded
YAR070C	0.0	300	0.0	excluded
YAR071W	9611.21250731772	1404	6845.59295393	included
YAR073W	1573.7456523985018	1212	1298.470010229787	included
YAR075W	626.7433451565141	474	1322.243344212055	included
