systematic transcript name	expression [RPM]	transcript length[nt]	expression [RPKM]	quality tag
YAL034C	23.881523760623544	1242	19.22828000050205	excluded
YAL034C-B	0.0	354	0.0	excluded
YAL034W-A	194.03738055506645	870	223.03147190237524	included
YAL035W	24562.147187801045	3009	8162.893714789315	included
YAL036C	4570.326609689352	1110	4117.411360080498	included
YAL037C-A	0.0	93	0.0	excluded
YAL037C-B	0.0	975	0.0	excluded
YAL037W	2.9851904700779435	804	3.7129234702461984	excluded
YAL038W	582828.5873780188	1503	387776.83790952683	included
YAL039C	674.6530462376141	810	832.9049953550792	included
YAL040C	576.1417607250432	1743	330.54604746129843	included
YAL041W	1552.2990444405193	2565	605.184812647376	included
YAL042C-A	0.0	378	0.0	excluded
YAL042W	2525.4711376859354	1248	2023.614693658602	included
YAL043C	1653.7955204231687	2358	701.3551825373912	included
YAL044C	6334.574177505402	513	12348.097811901369	included
YAL044W-A	632.8603796565241	333	1900.4816205901623	included
YAL045C	0.0	309	0.0	excluded
YAL046C	474.6452847423936	357	1329.5386127237916	included
YAL047C	295.5338565377167	1869	158.12405379225078	included
YAL047W-A	0.0	330	0.0	excluded
YAL048C	468.67490380223796	1989	235.63343579800804	included
YAL049C	1355.276473415382	741	1828.9830950275061	included
YAL051W	1134.372378629612	3144	360.8054639407163	included
YAL053W	1223.9280927319496	2352	520.3775904472575	included
YAL054C	26.86671423070149	2142	12.542817101167829	excluded
YAL055W	179.11142820467668	543	329.85530056109883	excluded
YAL056C-A	0.0	351	0.0	excluded
YAL056W	450.76376098177036	2643	170.5500419908325	included
YAL058W	364.1932373495095	1509	241.3474071235981	included
YAL059C-A	0.0	423	0.0	excluded
YAL059W	1074.6685692280569	639	1681.7974479312313	included
YAL060W	2588.160137557579	1149	2252.532756795108	included
YAL061W	110.45204739288384	1254	88.07978260995522	excluded
YAL062W	116.42242833303972	1374	84.73248059173197	excluded
YAL063C	8.95557141023383	3969	2.2563797959772813	excluded
YAL063C-A	2.9851904700779435	291	10.258386495113209	excluded
YAL064C-A	0.0	381	0.0	excluded
YAL064W	0.0	285	0.0	excluded
YAL064W-B	0.0	381	0.0	excluded
YAL065C	0.0	387	0.0	excluded
YAL066W	0.0	309	0.0	excluded
YAL067C	11.940761880311774	1782	6.7007642425992	excluded
YAL067W-A	0.0	228	0.0	excluded
YAL068C	0.0	363	0.0	excluded
YAL068W-A	0.0	255	0.0	excluded
YAL069W	0.0	315	0.0	excluded
YAR002C-A	2698.6121849504584	660	4088.8063408340277	included
YAR002W	2364.270852301725	1620	1459.4264520381016	included
YAR003W	465.68971333216	1281	363.53607598138956	included
YAR007C	3382.220802598328	1866	1812.5513411566603	included
YAR008W	441.8081895715362	828	533.5847700139327	included
YAR009C	11.940761880311774	3591	3.3251912782823094	excluded
YAR010C	41.79266658109122	1323	31.589317143681946	excluded
YAR014C	1653.795520423169	2130	776.4298217949149	included
YAR015W	5901.721559344109	921	6407.94957583508	included
YAR018C	540.3194750841085	1308	413.08828370344685	included
YAR019C	513.4527608534072	2925	175.53940541996826	included
YAR019W-A	2.9851904700779435	333	8.96453594618001	excluded
YAR020C	0.0	168	0.0	excluded
YAR023C	0.0	540	0.0	excluded
YAR027W	501.51199897309544	708	708.3502810354455	included
YAR028W	349.2672849991197	705	495.4145886512336	included
YAR029W	5.970380940155887	225	26.53502640069283	excluded
YAR030C	0.0	342	0.0	excluded
YAR031W	140.30395209366333	897	156.41466231177628	excluded
YAR033W	98.5112855125721	705	139.7323198759888	excluded
YAR035C-A	0.0	81	0.0	excluded
YAR035W	86.57052363226036	2064	41.9430831551649	excluded
YAR042W	1997.0924244821256	3567	559.8801302164635	included
YAR047C	0.0	321	0.0	excluded
YAR050W	5.970380940155887	4614	1.2939707282522512	excluded
YAR053W	2.9851904700779435	297	10.0511463638988	excluded
YAR060C	0.0	336	0.0	excluded
YAR061W	0.0	204	0.0	excluded
YAR062W	0.0	597	0.0	excluded
YAR064W	0.0	300	0.0	excluded
YAR066W	280.6079041873269	612	458.50964736491323	included
YAR068W	5.970380940155887	486	12.2847344447652	excluded
YAR069C	0.0	294	0.0	excluded
YAR070C	0.0	300	0.0	excluded
YAR071W	10078.003026983113	1404	7178.064834033556	included
YAR073W	1462.743330338189	1212	1206.8839359225983	included
YAR075W	483.6008561526272	474	1020.2549707861335	included
