systematic transcript name	expression [RPM]	transcript length[nt]	expression [RPKM]	quality tag
YAR010C	200.48071789530113	1323	151.53493416122535	included
YAR014C	871.6552951969649	2130	409.2278381206408	included
YAR015W	7457.011050410027	921	8096.646091650409	included
YAR018C	374.81177693469243	1308	286.5533462803459	included
YAR019C	590.5464624959402	2925	201.89622649433852	included
YAR019W-A	0.0	333	0.0	excluded
YAR020C	2.1791382379924036	168	12.971060940430974	excluded
YAR023C	4.358276475984807	540	8.070882362934828	excluded
YAR027W	228.80951498920209	708	323.17728105819504	included
YAR028W	117.67346485158983	705	166.91271610154584	excluded
YAR029W	2.1791382379924036	225	9.685058835521794	excluded
YAR030C	4.358276475984807	342	12.743498467791834	excluded
YAR031W	52.2993177118177	897	58.30470201986366	excluded
YAR033W	26.14965885590885	705	37.09171468923241	excluded
YAR035C-A	0.0	81	0.0	excluded
YAR035W	169.9727825634073	2064	82.35115434273608	included
YAR042W	1974.2992436211352	3567	553.4901159577055	included
YAR047C	2.1791382379924036	321	6.788592641720883	excluded
YAR050W	21.79138237992404	4614	4.722883047231045	excluded
YAR053W	0.0	297	0.0	excluded
YAR060C	6.537414713977211	336	19.45659141064646	excluded
YAR061W	0.0	204	0.0	excluded
YAR062W	0.0	597	0.0	excluded
YAR064W	0.0	300	0.0	excluded
YAR066W	117.67346485158983	612	192.27690335227095	excluded
YAR068W	4.358276475984807	486	8.967647069927587	excluded
YAR069C	0.0	294	0.0	excluded
YAR070C	2.1791382379924036	300	7.263794126641345	excluded
YAR071W	4489.024770264387	1404	3197.3110899319	included
YAR073W	1466.5600341688896	1212	1210.0330314924831	included
YAR075W	878.1927099109378	474	1852.7272360990248	included
